Geography,Geographic Area Name,County,State,Population,Median Income,Median Income Rank,Mean Income,Mean Income Rank,Weighted Education Score,Weighted Education Rank
0500000US01091,"Marengo County, Alabama",Marengo County,Alabama,14830,42975,2919,65484,2659,2.690964262,1542
0500000US01093,"Marion County, Alabama",Marion County,Alabama,23050,49743,2561,62389,2799,2.419219089,2819
0500000US01095,"Marshall County, Alabama",Marshall County,Alabama,73200,58272,1836,77500,1740,2.617103825,1925
0500000US01097,"Mobile County, Alabama",Mobile County,Alabama,317652,55352,2129,75532,1913,2.711338194,1437
0500000US01099,"Monroe County, Alabama",Monroe County,Alabama,15628,39965,3019,57487,2993,2.395252112,2892
0500000US01101,"Montgomery County, Alabama",Montgomery County,Alabama,174327,56707,1999,79962,1538,2.917402353,614
0500000US01103,"Morgan County, Alabama",Morgan County,Alabama,94921,61588,1510,82600,1323,2.6710317,1633
0500000US01105,"Perry County, Alabama",Perry County,Alabama,6687,32332,3127,41226,3151,2.427545985,2782
0500000US01107,"Pickens County, Alabama",Pickens County,Alabama,15272,45339,2823,66279,2609,2.489916186,2531
0500000US01109,"Pike County, Alabama",Pike County,Alabama,26777,42616,2932,67849,2517,2.756544796,1216
0500000US01111,"Randolph County, Alabama",Randolph County,Alabama,17552,49879,2549,67742,2527,2.538400182,2297
0500000US01113,"Russell County, Alabama",Russell County,Alabama,44689,47420,2699,62441,2794,2.588176061,2073
0500000US01115,"St. Clair County, Alabama",St. Clair County,Alabama,71266,73218,655,88263,946,2.610150703,1958
0500000US01117,"Shelby County, Alabama",Shelby County,Alabama,172853,90618,206,118066,199,3.204937143,142
0500000US01119,"Sumter County, Alabama",Sumter County,Alabama,9893,31726,3135,49122,3123,2.739411705,1292
0500000US01121,"Talladega County, Alabama",Talladega County,Alabama,64334,52457,2371,70872,2304,2.526455684,2361
0500000US01123,"Tallapoosa County, Alabama",Tallapoosa County,Alabama,32841,53282,2300,71359,2268,2.527876739,2355
0500000US01125,"Tuscaloosa County, Alabama",Tuscaloosa County,Alabama,184343,61645,1506,82543,1326,2.894511861,683
0500000US01127,"Walker County, Alabama",Walker County,Alabama,50569,52987,2323,68336,2485,2.497518242,2494
0500000US01129,"Washington County, Alabama",Washington County,Alabama,12254,51184,2461,76832,1795,2.52880692,2348
0500000US01131,"Wilcox County, Alabama",Wilcox County,Alabama,8044,38208,3059,50522,3111,2.258453506,3142
0500000US01133,"Winston County, Alabama",Winston County,Alabama,18870,49494,2572,66201,2614,2.362957075,2989
0500000US02013,"Aleutians East Borough, Alaska",Aleutians East Borough,Alaska,2990,79961,407,88309,943,2.468896321,2625
0500000US02016,"Aleutians West Census Area, Alaska",Aleutians West Census Area,Alaska,4332,100662,113,117300,207,2.531394275,2337
0500000US02020,"Anchorage Municipality, Alaska",Anchorage Municipality,Alaska,221286,95731,152,122032,172,3.050518334,314
0500000US02050,"Bethel Census Area, Alaska",Bethel Census Area,Alaska,12085,64094,1284,85288,1117,2.240711626,3159
0500000US02060,"Bristol Bay Borough, Alaska",Bristol Bay Borough,Alaska,691,94167,167,116487,215,2.895803184,675
0500000US02063,"Chugach Census Area, Alaska",Chugach Census Area,Alaska,5481,83068,320,103289,390,2.97993067,453
0500000US02066,"Copper River Census Area, Alaska",Copper River Census Area,Alaska,1922,70606,787,88145,953,2.883975026,712
0500000US02068,"Denali Borough, Alaska",Denali Borough,Alaska,1829,87292,245,98536,507,2.809185347,985
0500000US02070,"Dillingham Census Area, Alaska",Dillingham Census Area,Alaska,3388,69412,877,86298,1046,2.551357733,2231
0500000US02090,"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough,Alaska,73340,81655,367,107852,309,3.010608127,387
0500000US02100,"Haines Borough, Alaska",Haines Borough,Alaska,1451,68276,950,76099,1861,3.095796003,253
0500000US02105,"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area,Alaska,2019,62344,1436,84200,1193,2.837048044,876
0500000US02110,"Juneau City and Borough, Alaska",Juneau City and Borough,Alaska,25483,95711,154,117189,208,3.156731939,181
0500000US02122,"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough,Alaska,46161,76272,531,99127,488,2.893199887,685
0500000US02130,"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough,Alaska,10982,82763,332,108405,302,2.910854125,633
0500000US02150,"Kodiak Island Borough, Alaska",Kodiak Island Borough,Alaska,9930,91138,201,106803,321,2.824370594,922
0500000US02158,"Kusilvak Census Area, Alaska",Kusilvak Census Area,Alaska,4926,42663,2931,57035,3006,2.062119367,3214
0500000US02164,"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough,Alaska,744,61607,1508,72594,2155,2.545698925,2268
0500000US02170,"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough,Alaska,80274,86435,255,106734,323,2.800558089,1019
0500000US02180,"Nome Census Area, Alaska",Nome Census Area,Alaska,6607,70121,830,89721,845,2.565460875,2175
0500000US02185,"North Slope Borough, Alaska",North Slope Borough,Alaska,8431,83472,311,109311,292,2.534812003,2319
0500000US02188,"Northwest Arctic Borough, Alaska",Northwest Arctic Borough,Alaska,4899,77647,481,96030,583,2.400898142,2876
0500000US02195,"Petersburg Borough, Alaska",Petersburg Borough,Alaska,2768,77826,477,96770,570,2.702312139,1482
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area,Alaska,4555,61779,1490,80427,1505,2.680570801,1587
0500000US02220,"Sitka City and Borough, Alaska",Sitka City and Borough,Alaska,6753,95261,158,104872,357,3.043240041,325
0500000US02230,"Skagway Municipality, Alaska",Skagway Municipality,Alaska,1096,79583,418,91563,772,2.784671533,1095
0500000US02240,"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area,Alaska,5043,75378,564,85484,1100,2.708705136,1448
0500000US02275,"Wrangell City and Borough, Alaska",Wrangell City and Borough,Alaska,1662,61000,1566,80656,1490,2.598074609,2027
0500000US02282,"Yakutat City and Borough, Alaska",Yakutat City and Borough,Alaska,459,76875,515,89580,856,2.479302832,2575
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area,Alaska,3896,47826,2674,62362,2801,2.516427105,2408
0500000US04001,"Apache County, Arizona",Apache County,Arizona,48529,37483,3067,53624,3077,2.515032249,2414
0500000US04003,"Cochise County, Arizona",Cochise County,Arizona,99006,58421,1816,75274,1935,2.828848757,909
0500000US04005,"Coconino County, Arizona",Coconino County,Arizona,115926,67266,1024,89188,887,3.061582389,298
0500000US04007,"Gila County, Arizona",Gila County,Arizona,43072,55242,2139,69681,2399,2.640973254,1789
0500000US04009,"Graham County, Arizona",Graham County,Arizona,28345,64089,1285,74766,1977,2.539354383,2292
0500000US04011,"Greenlee County, Arizona",Greenlee County,Arizona,6894,73756,628,79905,1544,2.518276762,2397
0500000US04012,"La Paz County, Arizona",La Paz County,Arizona,13973,46634,2754,62044,2820,2.473269878,2600
0500000US04013,"Maricopa County, Arizona",Maricopa County,Arizona,3406731,80675,382,108596,300,2.976101136,461
0500000US04015,"Mohave County, Arizona",Mohave County,Arizona,178795,53592,2276,73093,2116,2.581157191,2103
0500000US04017,"Navajo County, Arizona",Navajo County,Arizona,79341,50335,2522,63992,2730,2.591094138,2058
0500000US04019,"Pima County, Arizona",Pima County,Arizona,831676,64323,1262,88437,938,2.986513979,440
0500000US04021,"Pinal County, Arizona",Pinal County,Arizona,337913,73313,642,92354,734,2.691784572,1538
0500000US04023,"Santa Cruz County, Arizona",Santa Cruz County,Arizona,35237,51885,2412,71305,2271,2.588443965,2069
0500000US04025,"Yavapai County, Arizona",Yavapai County,Arizona,200350,62430,1424,83305,1265,2.939560769,551
0500000US04027,"Yuma County, Arizona",Yuma County,Arizona,153031,56439,2025,74377,2007,2.470198849,2618
0500000US05001,"Arkansas County, Arkansas",Arkansas County,Arkansas,13123,58695,1790,70590,2327,2.491808276,2517
0500000US05003,"Ashley County, Arkansas",Ashley County,Arkansas,14723,44804,2850,64449,2712,2.365007132,2984
0500000US05005,"Baxter County, Arkansas",Baxter County,Arkansas,34451,47403,2700,66193,2617,2.644683754,1766
0500000US05007,"Benton County, Arkansas",Benton County,Arkansas,212789,85269,270,116152,220,2.936063424,563
0500000US05009,"Boone County, Arkansas",Boone County,Arkansas,29107,52275,2384,69322,2418,2.647163912,1753
0500000US05011,"Bradley County, Arkansas",Bradley County,Arkansas,7903,43688,2891,57798,2984,2.366696191,2977
0500000US05013,"Calhoun County, Arkansas",Calhoun County,Arkansas,3881,60237,1631,65273,2667,2.437516104,2747
0500000US05015,"Carroll County, Arkansas",Carroll County,Arkansas,22125,56826,1987,71631,2245,2.59059887,2062
0500000US05017,"Chicot County, Arkansas",Chicot County,Arkansas,7991,36593,3083,61443,2844,2.419346765,2818
0500000US05019,"Clark County, Arkansas",Clark County,Arkansas,17304,48071,2656,63424,2759,2.821601942,932
0500000US05021,"Clay County, Arkansas",Clay County,Arkansas,11494,44685,2856,61486,2841,2.460588133,2654
0500000US05023,"Cleburne County, Arkansas",Cleburne County,Arkansas,20233,52780,2340,71025,2291,2.555824643,2212
0500000US05025,"Cleveland County, Arkansas",Cleveland County,Arkansas,5992,48913,2609,68293,2487,2.593624833,2046
0500000US05027,"Columbia County, Arkansas",Columbia County,Arkansas,17947,47441,2696,72061,2212,2.617763414,1921
0500000US05029,"Conway County, Arkansas",Conway County,Arkansas,16097,50282,2529,68736,2455,2.5779959,2113
0500000US05031,"Craighead County, Arkansas",Craighead County,Arkansas,83339,55169,2149,80561,1495,2.842090738,858
0500000US05033,"Crawford County, Arkansas",Crawford County,Arkansas,46036,56702,2001,74478,1999,2.584433921,2086
0500000US05035,"Crittenden County, Arkansas",Crittenden County,Arkansas,34954,51860,2415,70749,2314,2.545860274,2267
0500000US05037,"Cross County, Arkansas",Cross County,Arkansas,12785,48129,2651,68838,2449,2.442236996,2724
0500000US05039,"Dallas County, Arkansas",Dallas County,Arkansas,5158,40085,3016,58645,2956,2.425746413,2790
0500000US05041,"Desha County, Arkansas",Desha County,Arkansas,8433,38067,3061,51673,3096,2.327404245,3053
0500000US05043,"Drew County, Arkansas",Drew County,Arkansas,13335,44968,2838,66829,2583,2.70296213,1480
0500000US05045,"Faulkner County, Arkansas",Faulkner County,Arkansas,96474,61273,1535,80941,1466,2.977942244,456
0500000US05047,"Franklin County, Arkansas",Franklin County,Arkansas,13281,47695,2681,62043,2821,2.435810556,2755
0500000US05049,"Fulton County, Arkansas",Fulton County,Arkansas,9613,38917,3038,53748,3076,2.509414335,2444
0500000US05051,"Garland County, Arkansas",Garland County,Arkansas,80253,54229,2218,73126,2113,2.803396758,1012
0500000US05053,"Grant County, Arkansas",Grant County,Arkansas,14116,68598,927,88493,933,2.624468688,1892
0500000US05055,"Greene County, Arkansas",Greene County,Arkansas,34886,54879,2171,67548,2540,2.519004758,2394
0500000US05057,"Hempstead County, Arkansas",Hempstead County,Arkansas,14984,45049,2834,62956,2777,2.497797651,2493
0500000US05059,"Hot Spring County, Arkansas",Hot Spring County,Arkansas,26634,50260,2532,65891,2633,2.567845611,2160
0500000US05061,"Howard County, Arkansas",Howard County,Arkansas,9471,44824,2847,61924,2831,2.511983951,2432
0500000US05063,"Independence County, Arkansas",Independence County,Arkansas,28872,52361,2379,71260,2275,2.567504849,2162
0500000US05065,"Izard County, Arkansas",Izard County,Arkansas,11371,46159,2785,64670,2696,2.541113359,2289
0500000US05067,"Jackson County, Arkansas",Jackson County,Arkansas,13515,41929,2958,57912,2978,2.394302627,2897
0500000US05069,"Jefferson County, Arkansas",Jefferson County,Arkansas,52544,46855,2739,64705,2695,2.594511267,2040
0500000US05071,"Johnson County, Arkansas",Johnson County,Arkansas,19528,42470,2936,56684,3017,2.4044449,2864
0500000US05073,"Lafayette County, Arkansas",Lafayette County,Arkansas,5086,40262,3007,56291,3026,2.296303578,3110
0500000US05075,"Lawrence County, Arkansas",Lawrence County,Arkansas,12608,43606,2892,62355,2804,2.446145305,2708
0500000US05077,"Lee County, Arkansas",Lee County,Arkansas,7054,33801,3116,56868,3013,2.222568755,3170
0500000US05079,"Lincoln County, Arkansas",Lincoln County,Arkansas,11103,50526,2514,68575,2464,2.248221201,3156
0500000US05081,"Little River County, Arkansas",Little River County,Arkansas,9362,58627,1797,71108,2284,2.548707541,2248
0500000US05083,"Logan County, Arkansas",Logan County,Arkansas,16761,51131,2465,70242,2358,2.504981803,2462
0500000US05085,"Lonoke County, Arkansas",Lonoke County,Arkansas,55703,68078,966,85865,1073,2.659461788,1694
0500000US05087,"Madison County, Arkansas",Madison County,Arkansas,12815,51514,2443,70891,2302,2.363480297,2988
0500000US05089,"Marion County, Arkansas",Marion County,Arkansas,13793,42891,2923,57906,2979,2.584209382,2087
0500000US05091,"Miller County, Arkansas",Miller County,Arkansas,32591,47613,2684,66142,2620,2.546991501,2257
0500000US05093,"Mississippi County, Arkansas",Mississippi County,Arkansas,29855,50012,2540,71494,2252,2.439591358,2737
0500000US05095,"Monroe County, Arkansas",Monroe County,Arkansas,5322,41786,2963,55658,3039,2.382187148,2937
0500000US05097,"Montgomery County, Arkansas",Montgomery County,Arkansas,7018,47103,2717,61955,2829,2.57722998,2118
0500000US05099,"Nevada County, Arkansas",Nevada County,Arkansas,6429,43421,2903,51512,3099,2.415772282,2830
0500000US05101,"Newton County, Arkansas",Newton County,Arkansas,5835,50699,2504,65087,2678,2.50865467,2448
0500000US05103,"Ouachita County, Arkansas",Ouachita County,Arkansas,17548,47348,2705,62145,2815,2.528265329,2352
0500000US05105,"Perry County, Arkansas",Perry County,Arkansas,7807,53980,2239,69280,2421,2.528628154,2349
0500000US05107,"Phillips County, Arkansas",Phillips County,Arkansas,12050,37458,3068,54223,3068,2.517344398,2403
0500000US05109,"Pike County, Arkansas",Pike County,Arkansas,7995,49248,2589,69106,2430,2.610881801,1954
0500000US05111,"Poinsett County, Arkansas",Poinsett County,Arkansas,17501,43440,2902,60498,2875,2.310325124,3082
0500000US05113,"Polk County, Arkansas",Polk County,Arkansas,14990,48449,2634,72330,2184,2.558705804,2203
0500000US05115,"Pope County, Arkansas",Pope County,Arkansas,48926,51678,2430,73118,2114,2.686240445,1563
0500000US05117,"Prairie County, Arkansas",Prairie County,Arkansas,6572,47045,2724,66616,2592,2.506999391,2455
0500000US05119,"Pulaski County, Arkansas",Pulaski County,Arkansas,306611,58326,1830,90292,824,3.044029731,322
0500000US05121,"Randolph County, Arkansas",Randolph County,Arkansas,14182,45993,2793,61004,2860,2.510506276,2437
0500000US05123,"St. Francis County, Arkansas",St. Francis County,Arkansas,18209,39822,3021,54833,3055,2.418364545,2820
0500000US05125,"Saline County, Arkansas",Saline County,Arkansas,95469,73236,652,89502,864,2.848453425,835
0500000US05127,"Scott County, Arkansas",Scott County,Arkansas,7578,45340,2822,56716,3016,2.401821061,2873
0500000US05129,"Searcy County, Arkansas",Searcy County,Arkansas,6290,42063,2954,55577,3041,2.422893482,2803
0500000US05131,"Sebastian County, Arkansas",Sebastian County,Arkansas,97689,54047,2235,81552,1405,2.690456449,1543
0500000US05133,"Sevier County, Arkansas",Sevier County,Arkansas,11407,53567,2277,70910,2300,2.299991233,3103
0500000US05135,"Sharp County, Arkansas",Sharp County,Arkansas,13809,43332,2908,61476,2843,2.427185169,2784
0500000US05137,"Stone County, Arkansas",Stone County,Arkansas,9940,37664,3066,50387,3112,2.539034205,2294
0500000US05139,"Union County, Arkansas",Union County,Arkansas,29540,49745,2560,71752,2234,2.59647935,2031
0500000US05141,"Van Buren County, Arkansas",Van Buren County,Arkansas,12811,45768,2802,59684,2903,2.494340801,2506
0500000US05143,"Washington County, Arkansas",Washington County,Arkansas,188755,61985,1468,89423,871,2.887849328,699
0500000US05145,"White County, Arkansas",White County,Arkansas,59234,51144,2464,70736,2316,2.606222777,1986
0500000US05147,"Woodruff County, Arkansas",Woodruff County,Arkansas,4912,49608,2570,66258,2611,2.419584691,2815
0500000US05149,"Yell County, Arkansas",Yell County,Arkansas,15499,55879,2078,66319,2606,2.356732692,3002
0500000US06001,"Alameda County, California",Alameda County,California,1330996,122488,30,164668,29,3.284933989,94
0500000US06003,"Alpine County, California",Alpine County,California,1170,101125,108,164883,28,3.184615385,161
0500000US06005,"Amador County, California",Amador County,California,34333,74853,589,99147,487,2.753444208,1229
0500000US06007,"Butte County, California",Butte County,California,170594,66085,1133,92479,726,2.945730799,531
0500000US06009,"Calaveras County, California",Calaveras County,California,37984,77526,488,97040,559,2.793202401,1052
0500000US06011,"Colusa County, California",Colusa County,California,16004,69619,868,91248,788,2.357285679,3001
0500000US06013,"Contra Costa County, California",Contra Costa County,California,904597,120020,36,165199,26,3.167640397,173
0500000US06015,"Del Norte County, California",Del Norte County,California,21664,61149,1554,79344,1594,2.582210118,2099
0500000US06017,"El Dorado County, California",El Dorado County,California,154028,99246,128,139272,75,3.135624692,203
0500000US06019,"Fresno County, California",Fresno County,California,725304,67756,995,91924,755,2.628093875,1866
0500000US06021,"Glenn County, California",Glenn County,California,21077,64033,1290,78523,1665,2.401670067,2874
0500000US06023,"Humboldt County, California",Humboldt County,California,110524,57881,1881,81887,1373,2.961537766,490
0500000US06025,"Imperial County, California",Imperial County,California,128529,53847,2248,72923,2127,2.377393429,2954
0500000US06027,"Inyo County, California",Inyo County,California,14991,63417,1339,83422,1257,2.942565539,539
0500000US06029,"Kern County, California",Kern County,California,645870,63883,1306,87915,962,2.480797993,2569
0500000US06031,"Kings County, California",Kings County,California,111467,68540,933,85040,1130,2.398736846,2882
0500000US06033,"Lake County, California",Lake County,California,53513,56259,2038,83917,1214,2.667258423,1652
0500000US06035,"Lassen County, California",Lassen County,California,26413,59515,1707,76595,1816,2.412296975,2842
0500000US06037,"Los Angeles County, California",Los Angeles County,California,7843618,83411,314,119756,185,2.840046009,866
0500000US06039,"Madera County, California",Madera County,California,114371,73543,637,94764,637,2.42306179,2801
0500000US06041,"Marin County, California",Marin County,California,209539,142019,6,215832,2,3.561274989,10
0500000US06043,"Mariposa County, California",Mariposa County,California,14203,60021,1649,79433,1585,2.963247201,486
0500000US06045,"Mendocino County, California",Mendocino County,California,71895,61335,1527,86870,1018,2.777439321,1128
0500000US06047,"Merced County, California",Merced County,California,199973,64772,1227,86076,1060,2.369639901,2970
0500000US06049,"Modoc County, California",Modoc County,California,7015,54962,2164,68080,2502,2.732002851,1332
0500000US06051,"Mono County, California",Mono County,California,10710,82038,353,100757,440,2.923996265,593
0500000US06053,"Monterey County, California",Monterey County,California,324567,91043,203,123405,158,2.618913814,1915
0500000US06055,"Napa County, California",Napa County,California,109937,105809,79,146888,59,2.975858901,462
0500000US06057,"Nevada County, California",Nevada County,California,84967,79395,428,110539,281,3.169760024,171
0500000US06059,"Orange County, California",Orange County,California,2495186,109361,65,147182,56,3.092767032,258
0500000US06061,"Placer County, California",Placer County,California,317418,109375,64,140703,72,3.229208804,121
0500000US06063,"Plumas County, California",Plumas County,California,16238,67885,986,95940,586,2.867779283,761
0500000US06065,"Riverside County, California",Riverside County,California,1831956,84505,281,110021,286,2.690331536,1546
0500000US06067,"Sacramento County, California",Sacramento County,California,1213923,84010,295,108612,299,2.940456685,549
0500000US06069,"San Benito County, California",San Benito County,California,48279,104451,89,129829,118,2.655150272,1713
0500000US06071,"San Bernardino County, California",San Bernardino County,California,1615826,77423,492,100078,460,2.634718714,1832
0500000US06073,"San Diego County, California",San Diego County,California,2592329,96974,138,129234,122,3.09270274,259
0500000US06075,"San Francisco County, California",San Francisco County,California,735634,136689,12,197408,7,3.472620896,29
0500000US06077,"San Joaquin County, California",San Joaquin County,California,571981,82837,329,107068,315,2.568048589,2158
0500000US06079,"San Luis Obispo County, California",San Luis Obispo County,California,232675,90158,209,121160,179,3.103375954,240
0500000US06081,"San Mateo County, California",San Mateo County,California,604063,149907,4,216684,1,3.364385834,57
0500000US06083,"Santa Barbara County, California",Santa Barbara County,California,346632,92332,188,131742,108,2.919903529,607
0500000US06085,"Santa Clara County, California",Santa Clara County,California,1511015,153792,3,210349,3,3.397627423,48
0500000US06087,"Santa Cruz County, California",Santa Cruz County,California,218251,104409,90,146532,61,3.129410633,209
0500000US06089,"Shasta County, California",Shasta County,California,142662,68347,947,91289,786,2.841779871,859
0500000US06091,"Sierra County, California",Sierra County,California,2510,61108,1557,89205,885,2.886055777,706
0500000US06093,"Siskiyou County, California",Siskiyou County,California,35177,53898,2246,76371,1837,2.794382693,1039
0500000US06095,"Solano County, California",Solano County,California,351998,97037,137,121293,176,2.862124217,780
0500000US06097,"Sonoma County, California",Sonoma County,California,394354,99266,127,133119,101,3.069876304,286
0500000US06099,"Stanislaus County, California",Stanislaus County,California,403952,74872,587,97409,550,2.528857389,2346
0500000US06101,"Sutter County, California",Sutter County,California,73859,72654,682,100982,435,2.585859543,2081
0500000US06103,"Tehama County, California",Tehama County,California,49908,59029,1756,87477,994,2.636691512,1815
0500000US06105,"Trinity County, California",Trinity County,California,13281,47317,2707,73300,2097,2.714102854,1420
0500000US06107,"Tulare County, California",Tulare County,California,330454,64474,1248,85832,1079,2.416230398,2828
0500000US06109,"Tuolumne County, California",Tuolumne County,California,45660,70432,798,94641,643,2.881384144,718
0500000US06111,"Ventura County, California",Ventura County,California,654314,102141,103,135094,88,2.939463316,552
0500000US06113,"Yolo County, California",Yolo County,California,172604,85097,273,117611,204,3.113294014,227
0500000US06115,"Yuba County, California",Yuba County,California,59542,66693,1068,85286,1118,2.618303047,1918
0500000US08001,"Adams County, Colorado",Adams County,Colorado,387043,86297,257,105685,339,2.711654777,1435
0500000US08003,"Alamosa County, Colorado",Alamosa County,Colorado,12529,52271,2385,74983,1964,2.847234416,839
0500000US08005,"Arapahoe County, Colorado",Arapahoe County,Colorado,504727,92292,190,126187,136,3.186554316,159
0500000US08007,"Archuleta County, Colorado",Archuleta County,Colorado,11116,66813,1056,90766,806,3.122436128,216
0500000US08009,"Baca County, Colorado",Baca County,Colorado,2719,42115,2952,63674,2745,2.687385068,1561
0500000US08011,"Bent County, Colorado",Bent County,Colorado,4628,45776,2800,56392,3022,2.443388073,2719
0500000US08013,"Boulder County, Colorado",Boulder County,Colorado,269093,99770,120,139221,76,3.548739655,11
0500000US08014,"Broomfield County, Colorado",Broomfield County,Colorado,58038,117541,42,148374,52,3.516644268,18
0500000US08015,"Chaffee County, Colorado",Chaffee County,Colorado,16635,65703,1156,87722,973,3.141989781,197
0500000US08017,"Cheyenne County, Colorado",Cheyenne County,Colorado,1295,65577,1164,84245,1191,2.816988417,949
0500000US08019,"Clear Creek County, Colorado",Clear Creek County,Colorado,8293,87169,248,121173,178,3.467985048,30
0500000US08021,"Conejos County, Colorado",Conejos County,Colorado,5621,44093,2876,60460,2878,2.740615549,1283
0500000US08023,"Costilla County, Colorado",Costilla County,Colorado,2903,34578,3107,51216,3103,2.72132277,1380
